user_id,age,past_sessions,avg_cart_value,used_feature,spending
0,56,13,43.81530321897707,0,34.56167643432465
1,46,40,28.82058535183623,1,31.725905136891832
2,32,2,57.23407836054413,0,64.11268423490029
3,60,84,43.70150450331317,0,46.49494637422211
4,25,65,66.96879185596606,1,76.68539632923455
5,38,63,45.878787572383736,1,72.89757131181236
6,56,73,70.7666316752847,1,66.87507630917733
7,36,17,61.36183623975562,0,43.68545924076458
8,40,9,50.42895165077516,1,42.921256687589945
9,28,75,73.70348881026231,0,48.27225993227931
10,28,15,64.28440191555813,1,67.49880096247145
11,41,24,94.19319239994837,1,62.84374952864967
12,53,38,43.858171325326936,1,49.36619020588265
13,57,35,51.14924158187691,0,29.795281191561248
14,41,94,73.53063516516394,1,77.58624003878542
15,20,95,26.846932822473313,0,38.670479027890146
16,39,49,69.75415344848844,1,77.19860476800878
17,19,69,56.58954136522206,0,55.18293713039254
18,41,62,36.67683866829128,0,48.25958779986935
19,61,60,29.554405121733176,1,56.84965709770064
20,47,50,39.91265790304574,1,73.82968794046702
21,55,78,15.727706415116423,1,46.85887842020503
22,19,75,42.656908344627446,1,57.09524262980825
23,38,9,59.33834500013872,1,66.64224613366976
24,50,34,42.85549038546758,1,52.66363344280791
25,29,76,70.82469052150712,1,91.53799254850406
26,39,99,74.89921404087931,1,88.65944175179177
27,61,35,69.13466723938662,1,75.57011506168844
28,42,1,53.45961365396548,0,38.14400026739625
29,44,40,15.129810912702965,1,37.49013374220285
30,59,64,39.44453761951091,1,63.13551885543305
31,45,22,47.8694220983842,1,44.86373653072252
32,33,60,36.59198525742784,0,49.63962796312413
33,32,64,47.90741786770143,1,58.577341879996986
34,64,93,74.1510120304007,1,79.42657334760763
35,61,72,25.313352057270226,1,40.76066526670222
36,20,11,77.1753808417854,1,76.91755305208491
37,54,14,63.270896326312055,1,58.49803203477274
38,24,60,54.02325212416543,0,49.50391396513369
39,38,30,39.295751663888545,1,60.22181052171817
40,26,35,36.890744817628615,0,25.4690512729289
41,56,85,25.606734281168904,0,20.068075931444504
42,35,37,75.7514822047158,0,66.89474026780334
43,21,5,73.06417340111062,0,45.109096360264495
44,42,83,28.905730571250768,1,55.00135344608177
45,31,78,41.71058007640698,0,43.50993528467091
46,26,26,56.497171538478625,0,28.31158447025711
47,43,62,45.50736292741688,0,43.580342831907316
48,19,4,21.219878644522733,1,42.001204683807735
49,37,89,40.133408591664676,1,52.53139731878842
50,45,42,79.26551447030027,1,62.26739738677285
51,64,89,41.15032114378334,1,65.53401605146436
52,24,18,47.547989949466896,0,46.85111505668224
53,61,40,32.822338639469294,1,52.197074493662676
54,25,72,58.81644477925622,1,52.26356897113124
55,64,39,51.72727698536875,1,49.19031032093707
56,52,14,38.86970387664532,0,26.51361484508212
57,31,32,30.430169062888627,1,64.06128194305181
58,34,51,71.06815061016314,1,68.16656868409282
59,53,38,25.916848900383794,1,42.0727352222099
60,57,97,57.557235433843324,1,51.743769720160515
61,21,23,17.691811329326406,0,14.579057763562094
62,19,63,60.608175245185734,0,34.27472408268457
63,23,15,64.55448330890091,1,53.745443345222455
64,59,97,66.4217556745987,1,74.11038463888677
65,21,25,47.58187297145198,1,52.27929442961422
66,46,17,73.76005408345544,1,85.57497156844119
67,35,97,84.61687542494101,1,92.78847143954528
68,43,66,45.175652959310554,1,53.09898710155189
69,61,78,43.23492454805108,0,30.249283856620387
70,51,53,52.23765890517404,1,75.24524880922894
71,27,51,42.834797811586895,1,73.11782380062829
72,53,39,40.64194705984819,0,12.278491094468773
73,31,51,41.94892189637736,0,37.0030371879057
74,48,70,75.73634012009367,1,72.34938698107956
75,32,6,61.57822992553148,1,67.88031636336511
76,25,67,42.78580809112864,1,77.51958528717935
77,31,7,13.173124614165715,0,12.445992113804873
78,40,51,26.83303259590299,0,7.909531151312358
79,57,72,57.55143623902816,1,71.76579512100672
80,38,42,18.176660879167738,1,57.1879711256259
