Date,TrafficDeviation
2023-01-01,35.74399244179942
2023-01-02,55.62583625354128
2023-01-03,173.1955059834632
2023-01-04,218.85220208828395
2023-01-05,55.700215994541594
2023-01-06,-25.37491573684659
2023-01-07,-33.90614556477191
2023-01-08,-71.32884202508244
2023-01-09,-24.131167014914546
2023-01-10,-8.45301061363725
2023-01-11,110.61643155831729
2023-01-12,-29.525795738888277
2023-01-13,-323.79207694865676
2023-01-14,-237.40451338217332
2023-01-15,-222.44618802290884
2023-01-16,-279.12276011980407
2023-01-17,-192.52793174863294
2023-01-18,-149.30810999363345
2023-01-19,-133.22116037531026
2023-01-20,-206.11538411231862
2023-01-21,-95.30450119618203
2023-01-22,73.16692282354
2023-01-23,54.38615755535575
2023-01-24,29.156269291058564
2023-01-25,102.48704138286388
2023-01-26,143.51506243333785
2023-01-27,103.8199790947118
2023-01-28,116.9236430439058
2023-01-29,17.459087057878776
2023-01-30,111.14403486179027
2023-01-31,97.44350227540082
2023-02-01,24.66341593348716
2023-02-02,73.01291459643798
2023-02-03,33.278090240744866
2023-02-04,152.07491548098722
2023-02-05,78.91567022003724
2023-02-06,104.03319175377149
2023-02-07,261.81481583417417
2023-02-08,-79.66562405776634
2023-02-09,85.61116221377748
2023-02-10,55.76620465631075
2023-02-11,19.885733594707734
2023-02-12,171.19456529782366
2023-02-13,3.843549900569471
2023-02-14,-26.684411494416374
2023-02-15,-57.730813357291865
2023-02-16,-53.887894903488075
2023-02-17,-42.85661320255276
2023-02-18,-195.99443836939602
2023-02-19,-239.25289960286517
2023-02-20,-340.24576927884567
2023-02-21,-237.7794059522403
2023-02-22,-305.46100119012067
2023-02-23,-141.42595358142603
2023-02-24,87.92580656355051
2023-02-25,75.55507776238173
2023-02-26,186.6479786174683
2023-02-27,174.40929128311058
2023-02-28,99.17790392691504
2023-03-01,104.43138569643706
2023-03-02,124.8649911863809
2023-03-03,49.84391998785187
2023-03-04,10.53533247311264
2023-03-05,50.60002382076837
2023-03-06,-32.61633901119289
2023-03-07,41.63713927218972
2023-03-08,-78.46914079507819
2023-03-09,128.08736121416945
2023-03-10,146.85865679518335
2023-03-11,155.78103329836813
2023-03-12,-123.87228865291985
2023-03-13,-53.09114207166928
2023-03-14,-144.0653952492501
2023-03-15,71.58293428763145
2023-03-16,82.78494462850203
2023-03-17,-74.98583043461974
2023-03-18,-150.2536992557343
2023-03-19,-74.49331130843588
2023-03-20,-90.62000333410766
2023-03-21,55.66651169423736
2023-03-22,-159.88493949293323
2023-03-23,-200.19878648934497
2023-03-24,-100.67253802127874
2023-03-25,-52.29406364842686
2023-03-26,-87.32516974762602
2023-03-27,-146.65969140594507
2023-03-28,4.884311978953576
2023-03-29,24.95167255506611
2023-03-30,33.60814932371608
2023-03-31,8.292873370614558
2023-04-01,-40.292863566959824
2023-04-02,-103.80572674349636
2023-04-03,-48.42200444981174
2023-04-04,-123.09040417478204
2023-04-05,-89.17991589921748
2023-04-06,-26.79947330676257
2023-04-07,-0.21559250935941776
2023-04-08,-128.9357438195934
2023-04-09,128.73602813598836
2023-04-10,81.88715954648248
2023-04-11,208.0146787335292
2023-04-12,216.5705974857444
2023-04-13,285.8109290492149
2023-04-14,135.5917938313158
2023-04-15,133.92048216350773
2023-04-16,233.859340569119
2023-04-17,238.01596161030173
2023-04-18,174.6908923826689
2023-04-19,127.14306796592616
2023-04-20,10.146894704857559
2023-04-21,-40.963734659089575
2023-04-22,57.566401819174004
2023-04-23,-102.3591688263495
2023-04-24,-78.75956825240667
