,TemperatureAnomaly
1875-01-01,-0.06681285004779676
1876-01-01,-0.03982095239010962
1877-01-01,0.08185758202754369
1878-01-01,0.08686922478801687
1879-01-01,0.17505094812759397
1880-01-01,0.2129588532794005
1881-01-01,0.09019662118054554
1882-01-01,0.11494831766603883
1883-01-01,0.045418888303240194
1884-01-01,0.05847691702876952
1885-01-01,-0.10159713454888017
1886-01-01,-0.0030231236664062383
1887-01-01,0.00881539343080645
1888-01-01,0.15378511092002917
1889-01-01,0.10748703331072287
1890-01-01,0.34447023932141113
1891-01-01,0.35156760316517655
1892-01-01,0.2620348355839137
1893-01-01,0.27363983312186413
1894-01-01,0.30575520379690346
1895-01-01,0.1893792293644079
1896-01-01,0.2011248365364442
1897-01-01,0.12285148138608863
1898-01-01,0.19159395077105465
1899-01-01,0.3539872685323568
1900-01-01,0.26363718200268693
1901-01-01,0.22330519452353656
1902-01-01,0.23989145129254558
1903-01-01,0.2907639671523617
1904-01-01,0.40416348396686164
1905-01-01,0.16904708748060374
1906-01-01,0.28256191035909034
1907-01-01,0.406483679141536
1908-01-01,0.18601119360477303
1909-01-01,0.4724797216271156
1910-01-01,0.2666894970582624
1911-01-01,0.4270293517301065
1912-01-01,0.37863465434791477
1913-01-01,0.41549871184536435
1914-01-01,0.26874974383012595
1915-01-01,0.4120359443763766
1916-01-01,0.37411197134877466
1917-01-01,0.5399936114917212
1918-01-01,0.3758916168592808
1919-01-01,0.4388254620464977
1920-01-01,0.42087363127554084
1921-01-01,0.4989167075808648
1922-01-01,0.5901630885916973
1923-01-01,0.4816204416712272
1924-01-01,0.5345432022945004
1925-01-01,0.3968891336733195
1926-01-01,0.516713256060422
1927-01-01,0.39865491008637244
1928-01-01,0.4403183242073762
1929-01-01,0.6646748728837009
1930-01-01,0.5420725208764379
1931-01-01,0.49631035843246385
1932-01-01,0.5713802467405802
1933-01-01,0.4402737613140309
1934-01-01,0.7626135396489822
1935-01-01,0.5508123020236535
1936-01-01,0.63542055156692
1937-01-01,0.5931832045462064
1938-01-01,0.6233448293822443
1939-01-01,0.5382344637657299
1940-01-01,0.6173866533063348
1941-01-01,0.7271069936611908
1942-01-01,0.6066354536415715
1943-01-01,0.66644634875483
1944-01-01,0.8713671214219029
1945-01-01,0.7080433242353618
1946-01-01,0.6217557295212939
1947-01-01,0.8352671035552319
1948-01-01,0.8153938291232392
1949-01-01,0.8276453061319151
1950-01-01,0.7791682974516081
1951-01-01,0.784922495876913
1952-01-01,0.9085406955305622
1953-01-01,0.7552410521843554
1954-01-01,0.8910374242440442
1955-01-01,0.8307273521372885
1956-01-01,0.8906150084291435
1957-01-01,0.8271718543692338
1958-01-01,0.8053023329735008
1959-01-01,0.7626639879834969
1960-01-01,0.7638353283832361
1961-01-01,0.9733852908634687
1962-01-01,0.7910078156277458
1963-01-01,0.9351245169230463
1964-01-01,0.861390204430207
1965-01-01,0.8232793750190277
1966-01-01,1.019444458543824
1967-01-01,1.0803907309590468
1968-01-01,0.7389079543038305
1969-01-01,0.9529066408857437
1970-01-01,1.0126199675309184
1971-01-01,0.9683149177759807
1972-01-01,1.202263996857813
1973-01-01,1.2084671727411058
1974-01-01,1.0296845088028725
1975-01-01,0.9259981826968963
1976-01-01,0.9246623154706137
1977-01-01,0.8160477833121329
1978-01-01,1.1474295140946513
1979-01-01,0.9449057867651816
1980-01-01,1.1190515452018246
1981-01-01,1.1364962326851031
1982-01-01,1.0227951713656136
1983-01-01,1.0010674563032265
1984-01-01,1.0828744522404847
1985-01-01,1.0761434751837944
1986-01-01,1.217757296815852
1987-01-01,1.33432520122125
1988-01-01,1.16520881181299
1989-01-01,1.2340500125242384
1990-01-01,1.0345356622727513
1991-01-01,1.3142891983783118
1992-01-01,1.4272559699594674
1993-01-01,1.2447287980436412
1994-01-01,1.1096484060731224
1995-01-01,1.1860479005834206
1996-01-01,1.110789275465547
1997-01-01,1.1307380725219525
1998-01-01,1.1617082680500994
1999-01-01,1.3593957646869663
2000-01-01,1.1955502519144134
2001-01-01,1.2859612434718288
2002-01-01,1.2038239712679628
2003-01-01,1.2586691397876224
2004-01-01,1.1391023750791736
2005-01-01,1.192299895316185
2006-01-01,1.3481962228513775
2007-01-01,1.340538760176666
2008-01-01,1.3885781242747426
2009-01-01,1.4785897769498157
2010-01-01,1.5908893500488348
2011-01-01,1.3576013548690078
2012-01-01,1.2406919665215979
2013-01-01,1.3946847717394857
2014-01-01,1.5746402366066685
2015-01-01,1.3285208319372006
2016-01-01,1.3371503610947317
2017-01-01,1.4072921132204301
2018-01-01,1.4651859204998217
2019-01-01,1.5549154088655976
2020-01-01,1.5384461460901877
2021-01-01,1.5206064681685971
2022-01-01,1.2379499940680103
2023-01-01,1.468017527631677
2024-01-01,1.3907201511387548
