Transport_Mode,Commute_Distance_km,Income_k,Age
Car,15.607064635047138,120.99158351148272,62
Public Transit,38.07785794998673,32.95042997505618,50
Car,29.5477637306448,32.65482618347967,46
Car,24.347680883684426,68.83322629794495,30
Car,7.084726977255024,88.63718284855989,57
Car,7.0837862931119036,122.44889013693519,24
Bicycle,3.265260874559779,111.99544519278062,27
Car,34.78086968522247,83.5083247652098,53
Car,24.443485457985144,62.83519995379991,31
Car,28.614830534045772,149.65494001892534,57
Car,1.8027952775362954,81.14175626831675,20
Car,38.82648423431778,84.16644291956106,50
Public Transit,33.46526299121645,49.634858543000306,23
Car,9.28122531645277,125.37714584999152,64
Car,8.091173721076924,113.24186709377864,24
Car,8.152775884283919,56.492353534651244,49
Car,12.865447475421972,39.885725473901125,43
Car,21.465500833657277,111.65991624896557,22
Car,17.845855727042515,108.54134571373623,30
Car,12.357936467723635,62.79114323978512,64
Car,24.8622628941728,144.10362747004925,23
Car,6.440260565429631,48.126947013708026,45
Car,12.393641292873507,81.88017612511223,46
Car,15.288111888453976,143.23391042011187,62
Car,18.7867293844644,80.36727803113467,46
Car,31.62186249432753,106.62311371969027,61
Car,8.787277504176028,77.71132775553531,25
Public Transit,21.055143098130852,62.9058242818404,34
Car,24.104168185619656,148.0773177551794,49
Car,2.811566096079911,79.12008075780517,61
Public Transit,24.694249224156096,137.29190444149611,56
Car,7.650440823804369,57.594552706930344,56
Car,3.537012126425901,55.57256448301,61
Car,38.00653595287999,33.73608994614136,56
Car,38.65964928990782,108.2000190451062,54
Car,32.527496576541985,74.22316124685133,42
Car,12.879936997761456,133.72298998075644,25
Car,4.809212446248971,86.78518880298685,23
Car,27.685088033974118,146.18321134976662,37
Car,18.16594725584445,52.26306188437454,28
Car,5.759491158946374,134.23478015467327,48
Car,20.31189949433954,123.19162233500901,32
Car,2.3411523234935174,122.51062135728624,36
Car,36.4634956810725,131.3739873740265,64
Car,11.092419282400659,121.32287891315987,51
Car,26.838369089805298,105.14643859576985,41
Public Transit,13.156731967487028,45.74938532188651,23
Car,21.282652825934623,33.90314153895023,24
Car,22.321700894387906,140.5017417378824,56
Car,8.209323765495554,103.99803774248856,60
Car,38.81380048281778,125.58447491714116,32
Car,31.230180111083467,87.782682181506,53
Car,37.64045872100338,44.076982675487336,64
Car,35.8982666666783,45.02229506430605,41
Car,24.31809917363232,112.26783446747656,42
Car,36.95309516590156,81.63670738793553,22
Car,4.45120758002486,54.062967204040405,61
Car,8.643331634346662,88.99134560897242,53
Car,2.763864267510985,37.70507244901609,51
Car,13.68788289976731,99.83656822972786,64
Car,16.1584142978898,62.27920853221172,40
Car,11.582612239181941,125.70709207646257,63
Car,33.32076285692524,67.24343507082885,40
Car,14.913379741049981,84.62641788981614,63
Car,11.95644587780785,31.394464788972076,30
Car,22.165147243171692,38.693626535347065,58
Car,6.496044774015743,77.09922676880217,23
Car,32.28568224940754,87.59266016605483,20
Car,3.907475103511062,102.00246577431645,47
Car,39.48859052742017,64.99950944511639,43
Car,31.11754600256964,113.3978263351851,54
Public Transit,8.749911579832723,133.21468766270453,32
Car,1.2153625678204936,123.58211866720198,53
Public Transit,32.80299570973853,34.754259041802854,30
Car,28.567436410057066,87.66083367093947,55
Car,29.431279553598504,42.591621410180984,36
Car,31.079543520751884,59.0454019035033,54
Car,3.887741417629524,148.39951119205756,37
Car,14.980163413226633,47.09946514818159,59
Car,5.518893321480059,89.86657841416273,41
Car,34.66103360914815,104.17868811817429,43
Car,25.30862694627476,114.29579646529247,38
Car,13.905022969253318,97.15784201842969,56
Car,3.4787756611549217,31.172501690302038,58
Car,13.128310546910825,69.17535698927902,40
Car,13.682149559043134,92.12539720616537,27
Car,29.454640955184498,40.54397989738,47
Car,25.86474138285331,72.07523174510169,24
Car,35.60129696047674,33.98437305496399,36
Car,19.416382081316023,39.42941965860249,56
Public Transit,5.664175591593766,77.63079314419153,55
Car,28.816546701696804,45.925890485167244,38
Car,30.670616896059002,98.10490179138698,46
Car,22.889810705210355,112.73579629647189,53
Car,31.067720018227877,126.07040389308995,30
Car,20.25802825821124,54.01802930937721,64
Car,21.38658034589777,50.09790987108837,31
Car,17.674099715983434,42.54814084012803,40
Bicycle,1.9913459430197125,106.3716299452364,30
Car,5.207765652738874,114.77708717842813,58
Car,2.225738241782636,33.790337379077044,47
Car,25.820006039287435,142.34546954924278,24
Public Transit,13.259883261976741,36.23655403817669,36
Car,20.83425695542341,94.95556023612846,39
Car,36.39509248311763,115.08726233410997,60
Car,10.722396936806122,134.51629484953025,31
Car,17.00493399838956,115.69043185589133,25
Public Transit,30.4664944031789,126.20736996837502,36
Car,9.923128454173277,70.73402310513673,38
Car,4.002216483322927,127.77901364958147,45
