Selling_Price,Square_Feet,Bedrooms,Bathrooms,Age_yr
492028.5140493236,1998.685661204493,4,3,52
373149.36427793745,1744.694279531526,1,3,23
453916.79085080436,2059.075415240277,3,1,21
565523.2090015386,2409.21194256321,5,3,29
398585.572218736,1706.3386501106656,3,3,62
458126.78898301214,1706.3452172203279,3,4,3
448624.5212277345,2431.685126202957,1,4,58
455808.3986466188,2106.9738916611636,1,2,7
391893.17532467225,1612.210245626019,1,4,11
472125.26410246483,2017.0240174343858,2,4,30
443918.3761800753,1614.632922875015,4,4,33
333465.5079792902,1613.7080985718972,2,4,74
454769.4156346778,1896.7849086264137,4,1,48
339852.23296326207,1034.687902136881,4,4,56
275853.47071805346,1110.032866994787,3,1,25
402612.63235510315,1575.084988303611,3,1,17
362605.41956356587,1394.8675518662305,4,4,37
516943.349479596,1925.6989330381095,4,3,49
323144.0627388245,1436.7903697915156,2,1,7
267221.3516983812,1235.0785194658833,2,3,40
595117.1665890202,2386.2595075686218,3,3,5
329558.39357862406,1709.6894798053856,1,4,68
428349.02937694424,1827.0112818751695,4,2,43
323045.8310703765,1230.1007255146174,2,4,63
409862.2123582934,1582.246910189927,3,2,28
398648.5922942389,1844.3690358839465,2,2,27
401520.9231047607,1339.602569031079,4,4,10
465111.65680076013,1950.2792073382689,4,4,64
418382.2122449201,1559.744524032478,5,2,18
406968.7253033391,1683.3225000826892,1,4,8
471742.08963894186,1559.3173551082411,5,2,26
555814.4468198501,2540.911273803575,3,3,33
412389.5596586741,1794.6011101048264,2,4,43
346692.0692408362,1376.91562841764,3,3,67
499655.11428346694,2129.0179648412754,4,1,14
349413.1579126769,1311.662540011591,5,3,50
506783.49703675625,1883.545438001902,5,3,12
396295.62234718894,1016.1319504480898,5,2,48
342693.4666170501,1268.7255804406277,3,3,69
441708.60737731145,1878.7444943476494,4,4,55
386211.757916196,2095.3866319981644,2,2,50
345186.3251761302,1868.5473124759883,2,1,36
478050.7015645673,1753.7406870447037,3,4,16
438163.0058981292,1679.5585217642845,5,1,57
305753.6919123561,1208.5912038530291,1,3,28
404524.217992382,1512.0623166421165,3,4,32
375037.0130134296,1615.744491616085,3,4,59
459308.5279406407,2222.848890487566,4,1,54
