Date,Calls
2023-01-01,200.0
2023-01-02,182.99242498536452
2023-01-03,193.85948539074988
2023-01-04,218.1499464190827
2023-01-05,207.37422803592108
2023-01-06,193.3489565112145
2023-01-07,188.4526859419409
2023-01-08,191.0293485872342
2023-01-09,188.4079414921769
2023-01-10,180.85271322347324
2023-01-11,168.8378009609171
2023-01-12,181.76987268477097
2023-01-13,178.390106948369
2023-01-14,163.2642980866258
2023-01-15,185.89055528799577
2023-01-16,174.7038787469615
2023-01-17,180.9279213772945
2023-01-18,194.0295900052323
2023-01-19,202.19079602448042
2023-01-20,220.77928944776482
2023-01-21,219.28529942538435
2023-01-22,207.37847656642327
2023-01-23,204.14571969647827
2023-01-24,188.61560391472807
2023-01-25,190.37076170364617
2023-01-26,201.8184475869887
2023-01-27,215.0042158851086
2023-01-28,185.4628435078597
2023-01-29,197.06469512025913
2023-01-30,193.28819652559363
2023-01-31,231.22208352711337
2023-02-01,245.11942225061196
2023-02-02,221.88661792163447
2023-02-03,201.38657399977856
2023-02-04,176.14595962789357
2023-02-05,188.55505928517275
2023-02-06,189.86219376555326
2023-02-07,200.7197624458697
2023-02-08,200.1903207480653
2023-02-09,173.9755652956597
2023-02-10,169.79551257269185
2023-02-11,159.30330234380122
2023-02-12,174.18388666358504
2023-02-13,176.91268522228603
2023-02-14,179.248472707918
2023-02-15,180.48784728040357
2023-02-16,215.78570319338772
2023-02-17,221.8386296221248
2023-02-18,232.43033840174124
2023-02-19,253.94439141652006
2023-02-20,218.49135769604504
2023-02-21,221.01586453500101
2023-02-22,214.04301406006437
2023-02-23,248.78757541568388
2023-02-24,233.27730856542712
2023-02-25,209.11481105669657
2023-02-26,214.497953571776
2023-02-27,209.3234341981342
2023-02-28,223.3267160685751
2023-03-01,213.45405699323138
2023-03-02,200.2657635671708
2023-03-03,193.51735171252201
2023-03-04,162.4020067363076
2023-03-05,167.22134745935233
2023-03-06,170.67854134456843
2023-03-07,181.68435883857626
2023-03-08,193.55291527089875
2023-03-09,200.6959068492409
2023-03-10,196.34360161400585
2023-03-11,179.40608678858618
2023-03-12,201.04961030443283
2023-03-13,211.58451148823804
2023-03-14,229.60083891874547
2023-03-15,229.86319023528026
2023-03-16,212.14190000365707
2023-03-17,206.13120538239681
2023-03-18,198.84754629800247
2023-03-19,203.21431223147036
2023-03-20,211.57982988107588
2023-03-21,211.6784214076937
2023-03-22,196.93714160129062
2023-03-23,193.6712773706269
2023-03-24,206.0942263654904
2023-03-25,213.25612641044202
2023-03-26,212.51040393932573
2023-03-27,228.25528263919966
2023-03-28,210.72418781368663
2023-03-29,211.29058858020414
2023-03-30,220.3761638895089
2023-03-31,208.7254842730936
2023-04-01,190.65879658150754
2023-04-02,183.74742402327473
2023-04-03,220.8622033995491
2023-04-04,182.5481906707894
2023-04-05,194.78001748375723
2023-04-06,191.7131934822595
2023-04-07,225.74607214805826
2023-04-08,202.266290656417
2023-04-09,199.67969894655644
2023-04-10,176.0138310056047
2023-04-11,174.04356512018435
2023-04-12,183.3862867088367
2023-04-13,187.86776135978542
2023-04-14,201.65421919230232
2023-04-15,185.3742242770138
2023-04-16,169.1824883235456
2023-04-17,185.11268157035207
2023-04-18,165.0326374345866
2023-04-19,166.40199068060045
2023-04-20,173.8843048346785
2023-04-21,167.83488862557394
2023-04-22,191.17428895885598
2023-04-23,212.66131364916683
2023-04-24,212.22990943124609
2023-04-25,201.35464129525042
2023-04-26,207.8900742337775
2023-04-27,201.4686778198183
2023-04-28,195.27266045013903
2023-04-29,214.86887606196058
2023-04-30,203.0695565423666
2023-05-01,209.9269228434842
2023-05-02,168.94988223560156
2023-05-03,188.0441541297972
2023-05-04,176.15786857373772
2023-05-05,183.35208339201864
2023-05-06,206.72976495185657
2023-05-07,205.37512726642896
2023-05-08,206.381452769406
2023-05-09,196.00567728888328
2023-05-10,195.90415439290527
2023-05-11,203.0736726794611
2023-05-12,185.0772299536458
2023-05-13,199.11043121104933
2023-05-14,211.11732093783888
2023-05-15,227.58642409821135
2023-05-16,216.8772990351836
2023-05-17,186.88537414249808
2023-05-18,200.27580737419964
2023-05-19,194.237318322839
2023-05-20,185.65918002672132
2023-05-21,175.36205351291284
2023-05-22,160.046424577854
2023-05-23,171.89210590918358
2023-05-24,206.6766692521759
2023-05-25,208.96621718893786
2023-05-26,220.77827411306376
2023-05-27,221.46013948899028
2023-05-28,196.05299523806022
2023-05-29,168.50684187710235
2023-05-30,176.13371868937614
2023-05-31,202.57483486613486
2023-06-01,187.07809827594386
2023-06-02,186.8646397052014
2023-06-03,187.29891548949956
2023-06-04,186.55468436622468
2023-06-05,192.83495931771492
2023-06-06,196.27802981956708
2023-06-07,186.34139921172044
2023-06-08,156.96394849087875
2023-06-09,172.86385499459087
2023-06-10,184.55299661905443
2023-06-11,194.99328591737483
2023-06-12,233.42408268424757
2023-06-13,243.08668617715585
2023-06-14,236.0243894440911
2023-06-15,218.6620954666071
2023-06-16,206.2241379967391
2023-06-17,173.95124911895547
2023-06-18,192.56981638193304
