state,year,unemployment
State_A,2005,7.626251860631371
State_A,2006,7.894406909234279
State_A,2007,7.636057047949447
State_A,2008,7.729147116445719
State_A,2009,8.184903855878474
State_A,2010,8.115635023549018
State_A,2011,7.961339985472888
State_A,2012,7.256833656318511
State_A,2013,7.148724893980266
State_A,2014,7.241349266770149
State_A,2015,7.475974456738848
State_A,2016,7.138012738435522
State_A,2017,7.268772005805915
State_A,2018,7.594384851401768
State_A,2019,7.597362918124519
State_1,2005,7.031786592328215
State_1,2006,7.6619758826035245
State_1,2007,7.378289664945846
State_1,2008,7.491549362204678
State_1,2009,7.24769288024834
State_1,2010,7.478364768809935
State_1,2011,7.664024627880884
State_1,2012,7.4662401906783895
State_1,2013,7.826177306055924
State_1,2014,7.685508760626968
State_1,2015,7.801896544876013
State_1,2016,7.794492768612728
State_1,2017,8.339888524184335
State_1,2018,8.0213322385589
State_1,2019,7.867088293939246
State_2,2005,7.86431763110414
State_2,2006,7.469568704828682
State_2,2007,7.634823337326401
State_2,2008,7.978790611781361
State_2,2009,8.126069498108066
State_2,2010,8.051607655848429
State_2,2011,8.033162160634234
State_2,2012,8.035028895495474
State_2,2013,7.838503054041293
State_2,2014,8.029196427937288
State_2,2015,8.11999533292572
State_2,2016,8.462505349862909
State_2,2017,8.358762380034268
State_2,2018,7.976388508549478
State_2,2019,8.432771151002433
State_3,2005,6.737252977351857
State_3,2006,6.887271524067575
State_3,2007,6.9334815433763275
State_3,2008,6.645535914893262
State_3,2009,6.817690844352248
State_3,2010,7.011939905787907
State_3,2011,7.206950144916368
State_3,2012,6.98216017190754
State_3,2013,7.107017124128536
State_3,2014,6.989035824644796
State_3,2015,7.03721539461457
State_3,2016,7.505115783894246
State_3,2017,7.680012525114273
State_3,2018,7.460516395068743
State_3,2019,7.741778898947917
State_4,2005,7.4339151461493165
State_4,2006,7.736987350610572
State_4,2007,7.489958841765131
State_4,2008,7.877796793019666
State_4,2009,7.10866305330866
State_4,2010,7.864736587271398
State_4,2011,7.785509512313731
State_4,2012,7.776042640842667
State_4,2013,7.921940278512685
State_4,2014,7.57381835255515
State_4,2015,7.99514177017757
State_4,2016,8.178242674317167
State_4,2017,8.470142981232863
State_4,2018,8.138654140899574
State_4,2019,8.14835347624541
State_5,2005,6.563993178347401
State_5,2006,6.5380610215471595
State_5,2007,6.892436654808342
State_5,2008,6.954968783940383
State_5,2009,7.2750523780624565
State_5,2010,7.086682867065512
State_5,2011,7.307331162406532
State_5,2012,7.440212066984758
State_5,2013,7.37170081386987
State_5,2014,7.869397964794313
State_5,2015,8.008155069702479
State_5,2016,8.102736812480098
State_5,2017,8.200566800361678
State_5,2018,8.110180184511728
State_5,2019,8.454895374253844
State_6,2005,6.625028341140029
State_6,2006,6.797981791375057
State_6,2007,7.154294936793174
State_6,2008,6.871859455656355
State_6,2009,6.9483401077734595
State_6,2010,6.941826983014592
State_6,2011,6.632848059646936
State_6,2012,7.07118566415582
State_6,2013,7.148420617772788
State_6,2014,7.688909134820559
State_6,2015,7.217674655906196
State_6,2016,7.376342453868062
State_6,2017,7.36897676799921
State_6,2018,7.202069650955272
State_6,2019,7.724255957921101
State_7,2005,7.570055541727827
State_7,2006,8.172043492226146
State_7,2007,7.750666014832623
State_7,2008,8.287959243503286
State_7,2009,8.74823054725738
State_7,2010,8.251583754421398
State_7,2011,8.475983070879135
State_7,2012,8.748724487169369
State_7,2013,8.767650680680752
State_7,2014,8.697764722642919
State_7,2015,9.161161601169503
State_7,2016,9.074539860815229
State_7,2017,9.521270687039639
State_7,2018,9.382218951417995
State_7,2019,10.015642276620417
State_8,2005,6.379450151137696
State_8,2006,6.054470768566688
State_8,2007,6.430032542964021
State_8,2008,6.729866031089397
State_8,2009,6.230837757510383
State_8,2010,6.673158100318805
State_8,2011,6.772104811651745
State_8,2012,6.960389751347238
State_8,2013,6.640531959005877
State_8,2014,6.707727702754354
State_8,2015,7.160104262684305
State_8,2016,7.199009808397278
State_8,2017,7.2736083680095325
State_8,2018,7.376696364029469
State_8,2019,7.255298702004091
State_9,2005,7.08938341355573
State_9,2006,7.72006222305489
State_9,2007,7.556327528673229
State_9,2008,7.337953868715276
State_9,2009,7.822178913547505
State_9,2010,7.61058548144021
State_9,2011,8.077592359899098
State_9,2012,8.266548178617022
State_9,2013,7.985346222810135
State_9,2014,8.456811535994275
State_9,2015,8.461346119197644
State_9,2016,8.657855589474176
State_9,2017,8.987455777671002
State_9,2018,8.673673181604572
State_9,2019,8.686657195598583
State_10,2005,6.095065228491657
State_10,2006,6.2379254510895334
State_10,2007,6.2842427017439375
State_10,2008,6.4535506774368665
State_10,2009,6.349923891756971
State_10,2010,6.697239814564581
State_10,2011,6.412811118237254
State_10,2012,7.068985803954497
State_10,2013,6.709294925941303
State_10,2014,6.471939430856773
State_10,2015,6.4884019282795355
State_10,2016,6.858284396692124
State_10,2017,6.776306842330044
State_10,2018,7.023008983965361
State_10,2019,7.03406589581338
