hours_studied,pre_test_score,exam_score,total_questions
14.232914526359371,39.95627305241723,91,100
6.43664736405721,76.85987627999744,83,100
5.310177617719859,47.19219700374612,57,100
11.474980612574933,48.38818519977344,73,100
14.669910425925698,69.91568792098099,87,100
9.039022742364757,36.68353029646295,69,100
19.634519769307694,69.89234692819767,100,100
14.011765033112402,83.27140756057335,97,100
10.137706128202858,71.77867609412438,89,100
8.45023284568886,56.419672599924546,62,100
7.5203823068665185,56.29286306263349,87,100
14.85194444029679,75.9057657143584,94,100
9.332872648912863,63.93852007355297,89,100
2.1338800355817984,35.09424979150906,32,100
8.562840851278196,64.96026527168428,79,100
15.021912708908678,78.89062217360458,99,100
4.467342878616499,50.2239830068566,58,100
4.333583366802358,85.65459477452337,80,100
11.09947610299493,75.04302002059008,87,100
11.104724154840454,64.44382950899787,88,100
13.0536182124751,75.0986393275751,97,100
17.139204087478003,34.74893764429231,90,100
14.76465117235207,81.56334454083668,98,100
12.609446702874074,79.29024679203349,90,100
14.72642426883421,84.59229957661253,100,100
7.136219363210386,37.7178718505628,67,100
7.873984456823968,34.90680522563911,50,100
5.337001386700157,38.30493436689539,45,100
6.580566881387758,53.96272260616801,90,100
12.988546353235268,55.45841166485951,80,100
2.7499938589564286,63.73310272385434,44,100
9.240322280911036,37.3346129779503,67,100
9.186392503263232,42.08397008288225,83,100
10.380016855355818,78.6986608970413,83,100
9.09077551562073,58.07925444340496,79,100
6.932963236476841,78.4762925690166,80,100
9.100674832293356,30.44558271267678,53,100
17.97439409922556,63.09556355894433,94,100
18.939040345873714,85.91592888460069,100,100
10.534896841802395,64.93052754875221,86,100
12.855106084050112,42.36574364671645,80,100
3.1967495065066185,73.06545373677346,64,100
7.028424154586097,52.73915098193506,59,100
8.881698027119004,70.1030368355676,95,100
17.45987399978395,31.759183373626275,85,100
5.7586519425336276,68.15402156108136,80,100
10.177651020991382,31.931876096275438,61,100
19.725635926603395,74.68683930850597,100,100
10.870217265936377,58.37478013430731,90,100
12.644995989496385,37.305261328383224,77,100
3.291944653816151,62.558155547310356,39,100
16.70047520962983,34.00646659350028,92,100
12.45814243980762,69.20189228118244,97,100
11.356292122862833,89.76517964206953,96,100
7.51251284171186,76.16384022443773,88,100
6.778294991516498,64.42644681952947,87,100
8.92342200946933,36.15811555264775,70,100
13.944714550063136,71.99004448637488,93,100
17.633679994108324,69.67007203967586,94,100
10.698024412082212,32.94582783736658,79,100
13.716961876283174,77.53795811067545,93,100
12.132794498682046,61.122995453430306,93,100
12.873166539816397,55.552061651995146,81,100
13.819091968768673,77.29123041608793,96,100
17.004506314784887,54.694153392530225,95,100
2.5807047783163366,58.86157653030921,60,100
15.509973987423425,40.89773056042948,93,100
5.629661116200606,49.27913397038572,75,100
4.690236250996646,80.73197979375414,71,100
11.876682192337988,41.21422493560292,88,100
2.818537815635355,55.03746365420065,72,100
17.82120969922765,89.34207044371797,100,100
12.917730468974106,44.195988702331164,86,100
14.744910805609141,85.00993997632973,96,100
1.3064549272053196,85.10384806833798,69,100
12.294205709455808,35.47778053219211,85,100
11.578918655491485,57.81916349313096,82,100
4.020233238749732,60.132980119367225,57,100
3.908339787370689,48.82013700312765,59,100
14.215061046647307,32.84037223426422,77,100
7.0565621012556505,44.50113823472387,79,100
14.147435615104573,35.731778493321656,83,100
11.53328174463767,44.29499434274471,68,100
8.390060908339748,78.46746517740937,80,100
18.577517302665736,83.69869727316069,100,100
16.99172994134161,32.593373524778805,96,100
7.790553766980349,48.11681017576314,74,100
1.8282378121817704,88.83493191565725,82,100
6.790593394810852,62.37028935322412,67,100
8.565527956441638,67.57856170259137,88,100
14.394217778575882,30.332724504414273,77,100
19.91181115864633,59.094566606553556,96,100
7.762382448631731,89.29971207734324,91,100
15.488408461923242,52.51113164896789,92,100
12.270361414682203,35.82228951833167,86,100
14.142334175303365,57.714525694106904,87,100
3.8714215946135244,87.7802679595355,74,100
8.578649561796976,50.50983681390099,72,100
5.576262056748865,77.93536399290079,89,100
7.525664266918174,77.93077987278372,87,100
10.74943492978104,42.4948978043362,67,100
13.665866453117362,56.6020621080727,93,100
3.012261216079463,72.9360765092583,66,100
3.487004062617534,54.63118712483568,58,100
7.117631522897853,41.46041732222527,45,100
13.56972239665863,88.04965840838511,98,100
17.083618280143718,69.0450219885776,100,100
11.511889551137555,81.92759109137396,95,100
17.23459726296559,31.51454146797862,85,100
8.31191841423946,46.01434888746809,59,100
7.018970045249215,60.12426601960457,64,100
7.731028836241892,34.0469181078031,50,100
4.250554754896882,89.5819956656875,79,100
16.75314005553592,44.187743771881735,99,100
7.434746072372206,52.45753094072688,46,100
11.495031430587389,42.84071489450078,64,100
11.992477894067827,36.32675196632705,81,100
10.909128128549314,43.94878713625415,86,100
1.0510732269120933,48.03660813019228,38,100
19.77856296637358,68.06653607396635,97,100
18.20148993757059,46.87408688717451,93,100
4.945081362730165,51.73660565859457,61,100
6.5572988430560715,30.35657062341179,71,100
10.880192908377186,51.94314755564187,79,100
18.136316080552742,62.03315890189768,97,100
19.688986813322742,39.720950223031856,97,100
5.893299218927579,65.84598650162249,43,100
11.722821815570851,47.589148117630764,82,100
16.332404998606403,67.92302968810367,98,100
8.49303102510272,31.571796315050626,69,100
14.890387681046585,83.25560762806649,92,100
4.060311274155082,30.967117825402436,44,100
12.413272788838208,37.61748186215768,83,100
17.45142470776203,76.62974769423613,99,100
19.686910574867557,32.75371393213024,96,100
2.507950017182299,72.65992161573061,53,100
9.138598219318036,88.26276843060774,95,100
4.886314331382126,82.30097598853844,67,100
9.562093319855961,72.60969907924192,70,100
11.407507879948225,87.51058458130001,94,100
2.7732074970265943,55.788800273194916,39,100
6.640354734132909,82.37273485930844,84,100
18.624100562890803,51.35746007841688,99,100
11.811070897173712,85.78581917423081,94,100
9.690827952948627,38.92665937452622,84,100
15.316993825164177,86.4017408956964,95,100
15.09538088499871,79.96297183699275,94,100
1.923001624041107,80.76329029178785,80,100
14.465250513412174,37.43538059543666,90,100
16.945623608296586,65.78921390050422,96,100
