RunTime_sec,Age,TrainingHours
12.40808333939969,31,12.562096571760089
12.370577473941557,20,14.589945230331317
11.831040654078485,20,14.68062877613531
12.71476726509314,24,8.049615712992686
12.51301737935733,28,15.656270214547021
12.683197912755759,19,8.691776179657303
12.374559011005477,18,8.516322883221667
12.779619004567131,33,18.500613613527484
12.498616809594646,27,11.511051243443156
12.005173455990404,18,17.15321191318535
15.0,32,12.414383114289283
11.656839525766326,18,18.482027189117204
13.48090760189829,33,8.353084802623798
12.642021082293816,32,14.624524662426872
12.497901104917986,22,10.88297004677906
11.151559324236903,18,18.617660134015733
12.729220678519605,34,13.522861092826515
12.379336876973912,22,10.318043963298758
12.657967880036525,21,11.524310042255282
11.492379846044903,20,17.815130101542394
12.60986617564914,25,14.713848506048722
12.106202470848471,20,16.13510536999594
12.4264368997396,33,17.70952013322097
12.687143330604796,34,18.42286585310833
12.446477370934222,25,13.015909477690991
12.78078788028611,27,8.707257867336645
12.280513287754461,21,13.741508056435293
12.088217513072676,24,14.25391315626068
12.406509184732144,19,14.967584239381527
12.436917931803842,20,11.710387975217824
11.527846002966152,19,19.038591503054985
12.015210228134059,30,15.864170036197445
12.53253410350693,26,12.190896619048939
12.142843185434685,21,14.493128534479983
12.532022763803859,28,13.388640748263313
12.306234573794358,23,11.387851527504148
11.893468222874954,18,11.55051830264606
12.224000881450891,29,14.761771791357582
12.05342654059499,20,16.582295349033984
12.370493776585757,28,14.211424124863923
13.341904727082818,31,12.2245019430849
12.310188514312635,22,15.593346303499313
12.35404634050241,33,18.47742824206373
12.878877497634319,29,10.014661336007585
11.858929552731416,30,19.84973986737708
12.456550206708306,24,12.192979155497694
12.276229653506475,31,17.914461530390305
13.05376392659949,34,8.785538503081852
12.49994597167052,24,8.064239460636035
12.192038831124325,32,18.643335770127457
8.5,25,18.93581761846813
12.739419131417398,29,10.392893263100985
13.036190707734747,25,8.330616619902322
11.381376641868124,19,17.808019035540603
12.985295333353111,29,10.90193142613802
12.721145672487312,23,8.672996144659399
13.449822384525302,30,8.810730018036901
12.209068884105847,19,13.686462260055137
12.657713640253439,30,14.113151137403758
12.578225040485007,27,13.001541677894956
13.308045872629364,34,11.070115164450705
11.889109469354427,21,12.578145280415225
11.824115517166366,21,17.68861324617248
11.96658786458645,29,17.732469643938835
12.505510943741688,25,16.23424231765894
12.079883945537611,27,19.91136351215197
12.510191310405203,20,12.862222145026223
12.4018500218956,21,10.282084643680374
12.846769663223082,29,13.858093877541135
12.04197599375844,21,14.028435769347364
12.943111290022296,24,12.840257833033311
12.559045286115246,27,10.173145094950293
12.889938789931993,32,8.576357611873396
12.063593864831827,24,15.256296148804605
12.80470742113789,24,11.190934486827626
12.07192558108271,30,18.576163969874777
12.278572035607453,24,15.008553398982617
12.75358333495967,32,13.729525804853413
13.10375384613703,28,10.058180295906357
12.669334470450078,21,8.679439999227256
13.0,21,9.88442274100159
12.411133438816517,19,12.063410021511672
12.95434787656082,33,13.287715620918478
12.537636461880643,31,16.20611743861935
13.184999134933461,34,10.470460667148599
12.100345834826856,23,15.397204420853107
12.129716857042196,26,19.0936593230335
13.364574262020529,31,8.955539025227434
12.565448810461685,32,13.82476190970083
12.4974433818363,33,16.382763570491555
12.801600316338869,26,8.978821792391555
12.359976348503855,31,18.429228356082888
11.915599110726857,18,13.197268139324505
12.172287858300914,21,13.931960779553606
11.66273384544675,19,13.948885662404688
12.544443433967798,22,12.44866497528442
12.065848111308403,25,19.06554393243237
11.627120107672964,24,18.095338613458843
12.131907891809202,19,15.866311033212488
12.463765305892107,30,13.552220576876294
