device_type,group,purchase_rating,purchase_value_usd,discount_dollor,customer_id,user_age,play_game_seconds
Android,A,52.14764778260892,90.60274759099909,8.884731743742618,0,56,232
iOS,A,24.01815845063535,59.421990631766896,10.063530089644944,1,46,216
Android,A,29.912748353644865,63.61954169714815,10.585547920202549,2,32,278
Android,A,30.439019399489986,57.5573863073359,4.6451112175229,3,25,235
iOS,A,34.289301324784546,59.76676921914903,3.9840511611312763,4,38,235
Android,A,20.703906885901233,45.2102293311045,4.448035756241225,5,56,232
iOS,A,9.048924621953802,37.27884524894553,4.270459550667967,6,36,201
PC,A,28.794219013284476,59.089480242424,2.816644379687495,7,40,294
Android,A,16.623880550623134,19.72747633943912,3.13254602966084,8,28,214
PC,A,31.961852465072933,61.1018308558416,5.944997533212904,9,28,277
Android,A,30.14819051746986,57.93220241134039,3.8703988651344616,10,41,222
iOS,A,15.267406042465648,41.16499200070126,0.8794570641739279,11,53,275
Android,A,20.58685686942586,52.83042964173836,2.523658488394494,12,57,294
PC,A,19.398667821592003,38.61691915684301,7.331662853362806,13,41,219
Android,A,10.86882626633607,36.00144175548622,2.1968057209300547,14,20,284
PC,A,36.069734931290576,64.32584763895605,2.172403384049261,15,39,257
PC,A,22.197726173456054,52.86191483557573,4.8704091759066355,16,19,247
iOS,A,39.71739352718874,79.68135986169241,4.893833797560604,17,41,222
iOS,A,35.115920004663394,89.0895091968692,0.6264640700781156,18,47,233
Android,A,28.157307299324327,60.25263328308372,3.8940700547838274,19,55,300
Android,A,21.340688128737852,54.53998172877774,5.935134881625803,20,19,289
PC,A,26.093139852321208,75.40584387806052,8.320467398026414,21,38,230
PC,A,14.913565966168507,24.40871103897384,1.7406287350749856,22,50,262
iOS,A,24.512402078844644,32.61320876677355,2.917595634323858,23,29,223
iOS,A,29.636062542174635,47.97738919090981,9.264605786789286,24,39,267
Android,A,31.337412270022078,55.85791764100611,4.2155800326179635,25,42,204
iOS,A,24.181178930968372,52.5035695413922,2.7115658894895227,26,44,243
PC,A,30.41321508735595,52.76752788923364,2.569430807580408,27,59,210
