Patents_Filed,RD_Spending_Millions,Num_Employees,Industry
0,34.97522468709415,214,Hardware
1,14.663897080043784,1767,Software
0,11.729146951428055,2232,Hardware
0,27.790081069603115,5847,Hardware
0,36.11371400438537,2396,Software
31,21.443769776160817,49172,Software
0,49.047827820038464,1369,Software
4,34.39907205995073,2714,Biotech
2,24.306129123475866,2554,Software
0,19.90981715061045,1950,Software
3,17.487311799468035,3690,Biotech
0,36.58796051551006,6713,Biotech
4,22.20932611164141,22251,Software
0,3.454055882173633,283,Biotech
0,20.203190638856356,1386,Hardware
3,37.03077258373577,1522,Software
0,9.53334065744825,12170,Software
1,9.18486192930088,1745,Biotech
0,26.811793005170998,173,Software
6,26.82546556129487,3400,Biotech
1,31.90284744829039,2834,Biotech
2,42.546873806850584,3903,Software
0,36.36053858060144,626,Hardware
28,30.74566377854035,39283,Software
0,36.260947437225965,1833,Biotech
0,16.486466235732323,2247,Biotech
0,18.408538453304548,772,Hardware
0,11.799029928508302,737,Hardware
2,15.038845296247054,476,Hardware
0,31.733318130797144,1652,Software
2,5.059194527281221,708,Software
54,21.968208047636647,65166,Hardware
0,21.82770678481737,175,Software
1,24.93741233369016,548,Hardware
0,21.578599369643484,1632,Software
0,15.956930537137032,8186,Software
7,21.604389694659005,1602,Biotech
0,44.72276357429817,8216,Biotech
1,47.235920901092044,678,Hardware
1,25.340915456274658,3258,Software
8,31.385671113709503,40784,Hardware
0,6.223110556425138,698,Software
6,16.205631350105882,5593,Biotech
4,21.033897491704774,4065,Software
0,43.382303315226615,101,Software
0,12.897540587127082,1232,Software
21,24.410196081003864,16264,Biotech
2,49.2852093877299,3650,Hardware
0,26.214513403360563,483,Software
0,30.8382790252669,8401,Software
1,6.471118966521025,1452,Software
2,41.40386962508825,5115,Software
1,30.351476356340903,5246,Software
1,27.480866320090012,556,Software
0,17.466809771828267,9747,Software
0,15.553979056845613,657,Software
0,21.14259944572273,420,Software
0,34.22438790674343,792,Software
7,43.835113668861155,1773,Biotech
0,25.76590570516155,3512,Software
0,33.63103225663248,935,Software
19,29.503859351829536,9110,Biotech
0,31.432723353732193,4346,Software
1,33.89710802389733,1051,Biotech
6,42.19595066220273,11310,Software
0,4.618151922455719,17010,Hardware
0,38.30230065144524,2570,Software
0,12.561485539575264,2159,Software
2,10.114036548649159,208,Biotech
0,28.836619395827917,1617,Software
0,5.237769572313162,1925,Software
0,44.32367790061941,4307,Software
1,31.5488241165378,2315,Biotech
8,36.30910973040276,4298,Biotech
5,1.298395731403333,29766,Hardware
2,29.924378032529603,1346,Biotech
0,28.06086702351729,1427,Software
0,8.368502385163776,418,Biotech
0,8.076990498676269,2942,Software
9,34.92871167416009,12903,Biotech
0,16.27893810590288,215,Software
0,34.75252962882507,1097,Biotech
2,27.94197086102972,3146,Software
1,19.753053419095657,10669,Software
1,46.29405823589231,5293,Biotech
19,42.16266484717946,4857,Biotech
0,18.191179550817225,2129,Biotech
0,2.6577774580525073,6141,Software
0,15.586019633849324,13649,Biotech
0,20.21019125494006,229,Software
6,35.39546210734243,8891,Software
10,49.77024486068386,2570,Biotech
0,18.117785853014247,1346,Software
1,38.24611678237897,76,Software
0,29.862257369829948,375,Software
38,34.73923903565877,38066,Biotech
0,7.980808891229971,1061,Software
0,20.24437648994475,585,Software
0,12.422366937319412,1503,Biotech
0,17.501072695392082,974,Hardware
2,25.899843632850608,3592,Biotech
57,33.497915233121546,29011,Hardware
0,5.742470010312284,1236,Hardware
0,6.979300057871997,3757,Software
0,16.438040020181248,533,Biotech
7,33.24743466497906,29151,Software
0,42.40205815090074,3958,Software
1,27.886238567437314,588,Hardware
1,42.795398132462985,11573,Software
5,19.549471658150175,18033,Software
1,16.181000907359795,3797,Software
1,18.036101441788087,254,Hardware
12,8.968550545652404,43379,Software
2,41.54107540784358,4746,Biotech
2,17.264206872759168,17251,Software
0,27.842318727056618,1304,Hardware
0,29.13829767138723,1639,Software
2,26.315886440167947,3518,Biotech
2,0.6330591964288743,15836,Biotech
8,49.42309825449959,3694,Biotech
0,45.31440799524969,452,Software
0,10.777975129218062,4415,Software
8,14.978225933225028,34348,Software
0,26.24050257708793,3290,Biotech
6,45.14461294670319,3619,Hardware
8,49.1897288031303,448,Biotech
1,13.248332175627112,363,Biotech
1,28.435772624776693,1145,Software
1,40.44494986479037,1826,Software
0,20.021317670662352,3484,Software
2,36.688115274305574,3823,Software
4,8.472916214246133,32953,Biotech
0,30.2345791077627,3255,Hardware
0,43.3602906860116,14715,Hardware
19,49.184319655576004,2810,Biotech
0,4.428606623711778,26195,Biotech
0,21.703190097696986,180,Software
0,10.624871547548171,1214,Biotech
1,22.80650628067737,13024,Hardware
0,27.614296845128273,2304,Software
0,5.119672163306128,12055,Hardware
0,15.194608386293634,5311,Biotech
19,46.4154198875313,12317,Biotech
2,28.665684705794668,7477,Biotech
0,23.14189387741879,8188,Biotech
23,37.79953654450667,27964,Software
5,37.222176516180845,13091,Software
0,2.904662125791305,13236,Hardware
0,35.58052107441593,3073,Software
0,42.04254571635164,1245,Hardware
0,8.713925268244218,1108,Biotech
0,39.15939793099789,9195,Biotech
2,14.683562528090544,76,Hardware
0,15.670252789813086,419,Software
0,33.43044253480931,702,Hardware
0,6.01391249458193,2056,Biotech
3,33.41118621576307,57,Biotech
67,44.44891123747302,19694,Biotech
1,34.96740777765262,7333,Biotech
124,22.29622989493775,58505,Hardware
4,22.191612026672622,14666,Biotech
1,38.372256714345674,13982,Hardware
2002,28.4992790606812,87204,Hardware
0,4.702756077994971,1265,Biotech
0,29.34221884913953,312,Hardware
0,40.83476329322378,2103,Hardware
1,17.184785980656695,864,Biotech
11,46.41504068898178,2027,Biotech
0,37.66049151698681,616,Software
4,28.91615934492324,6987,Biotech
0,37.70637744524946,6434,Software
1,4.417873556541158,2862,Biotech
2,43.039759246190265,4756,Biotech
0,41.16445360342762,2408,Hardware
5,45.53864715070534,9210,Software
0,6.8672442767143105,3309,Software
0,4.5481143111522675,2001,Biotech
0,7.3515708526886945,12020,Software
14,20.269246150088605,19756,Biotech
3,21.5031896235091,22163,Software
0,28.32980974717983,674,Biotech
2,6.5510557068090005,1337,Biotech
0,10.469275318377857,232,Software
1,40.676395240059065,2084,Biotech
1,23.665384915809096,5564,Software
3,40.492941369438704,2442,Biotech
19,0.8676057379583451,53975,Biotech
0,27.803839936129073,1621,Software
8,46.630641329795566,582,Biotech
0,29.31768522772057,6993,Software
0,10.701738508541071,3732,Biotech
5,36.0289993328381,6798,Biotech
1,19.259799560096425,4701,Biotech
4,33.58500538934326,4296,Biotech
0,1.951326283241678,123,Software
0,31.97706778789213,1003,Hardware
0,2.0937977794272378,1229,Hardware
0,37.36664242951741,1768,Hardware
1,23.909193610803527,1521,Biotech
5,6.526840595916157,5537,Biotech
0,27.360478326531045,7341,Software
0,3.8053349396377327,545,Hardware
2,32.84156113197551,8351,Hardware
2,49.80627320470736,7177,Software
11,38.58516818516113,5994,Biotech
1,28.90181862611181,355,Software
0,5.580445330934395,5772,Hardware
0,35.14178670125928,3374,Software
2,33.22780943273259,12598,Biotech
15,2.930307965827428,43327,Software
8,39.718815441307235,32276,Hardware
3,26.176471249080006,3529,Hardware
2,21.580450862895994,2972,Biotech
0,39.51526509327254,7691,Software
1,20.87267654883744,559,Software
3,24.3108006375051,338,Software
0,9.49062771235432,1467,Biotech
0,16.405285525568218,18598,Software
1,42.35388332984715,1814,Software
6,9.751735571872409,28392,Hardware
0,21.155907514715533,45,Software
1,49.45720811606732,275,Software
0,12.211690679423208,2476,Hardware
0,45.883200480472034,11296,Software
0,45.960674656378835,2685,Hardware
0,5.01916893905849,2582,Hardware
0,23.45080988183304,2483,Software
0,25.35970859847796,211,Hardware
0,16.02661302758031,16934,Hardware
1,2.8433070932679807,1070,Biotech
0,12.463439043647192,15279,Software
1,5.2287172569903655,2681,Hardware
5,12.293370332764383,14797,Biotech
2,40.48565877136272,4988,Hardware
1,44.801425250357575,2540,Biotech
0,2.6395331579425165,4185,Hardware
0,15.44636839500459,327,Software
3,49.038818830417235,3008,Biotech
140,27.2054887164099,39107,Biotech
8,31.502313404637885,21211,Hardware
1,0.7744977161417748,680,Biotech
0,24.503017450406684,6364,Hardware
14,49.42226246380818,4324,Biotech
0,19.071683610398505,10155,Hardware
0,5.30338885262363,3433,Software
0,23.364483697638196,2100,Hardware
18,48.16872106661678,21937,Hardware
0,17.420615371468312,4124,Hardware
0,40.04667529414315,19598,Software
9,40.04289339504656,12856,Hardware
0,10.808290688577364,1832,Software
3,22.44670123915998,2320,Biotech
126,35.92226312013809,53892,Biotech
0,20.82072937798943,3972,Biotech
0,9.954844290835846,955,Software
1,48.39096818691771,492,Software
4,32.71214314057652,12851,Biotech
2,43.34026265038352,3791,Biotech
0,1.749496711082362,908,Software
1,13.71183783216117,8199,Biotech
1,25.35251946617377,3788,Biotech
0,3.8387074389375604,246,Software
0,49.65514642419219,7208,Hardware
0,12.20488861180243,22021,Hardware
412767,19.027463026099678,138659,Biotech
1,11.09358978796314,3141,Biotech
0,5.719570372219815,4225,Biotech
21,12.007749387409671,33186,Biotech
1,15.380201707408633,3839,Biotech
1,31.904892261022237,4505,Biotech
1,14.42112168191897,1157,Biotech
0,18.432699668340526,368,Biotech
1,0.7941707643147262,11719,Biotech
0,18.603096733404545,441,Software
0,26.927356094065583,16497,Hardware
2,8.51978393400128,913,Software
1,30.072938863838562,4437,Hardware
0,15.011047197045379,1705,Hardware
4,31.786499492685532,17359,Biotech
0,1.7967319599167668,4681,Hardware
1406,44.435876293154855,56310,Biotech
1,1.2978722059570087,586,Hardware
0,6.784422536280088,5545,Software
1,38.96954184774481,3200,Hardware
2,2.771813994007446,4536,Hardware
44,35.69443533297775,32659,Biotech
0,48.56678395525138,7172,Hardware
0,43.64830519054421,533,Software
3,35.65300174037458,6636,Hardware
1,47.946232279572506,1598,Software
0,21.775760225385806,1465,Software
5,43.70750625892946,14311,Biotech
0,18.119904564693922,1207,Hardware
1,46.52330081874042,1686,Biotech
0,7.864493983984128,3129,Hardware
0,47.03143623894954,12323,Hardware
1,41.719451765519025,7132,Biotech
1,42.37971449072497,2097,Hardware
0,6.634188991235245,1981,Software
0,30.02610146791598,523,Software
1,1.3114278033586029,953,Hardware
6,36.198626119505036,1117,Hardware
0,0.8830069492322458,2382,Biotech
181,4.698702733539065,58697,Biotech
0,11.662171317276169,1082,Hardware
2,43.81866442672462,1912,Hardware
2,18.497027740386862,137,Hardware
0,27.228016793021645,7338,Software
0,28.621109084039432,279,Software
0,11.660436335145016,765,Software
6,28.82126501523083,14235,Software
1,33.21711385396536,126,Software
0,15.263146969207808,3442,Hardware
1,21.222029519511285,9910,Hardware
6,22.927901765033436,29382,Hardware
1,46.65135774633304,749,Hardware
2,29.58094050023537,1169,Hardware
59,47.43849239509799,44652,Software
1,28.02372031137477,2870,Hardware
0,25.277790332030506,987,Hardware
1,0.6748444428292928,1016,Hardware
0,24.304007671810623,693,Hardware
8,46.409022428851266,1541,Biotech
0,10.319101606822597,15249,Software
1,3.0785111522801936,11289,Biotech
0,20.63555522695649,512,Biotech
0,18.933625789408545,4112,Hardware
2,42.92907636462656,1630,Hardware
0,1.8172502202179972,9639,Software
0,46.04738687307074,2357,Software
5,34.20469845025034,5204,Biotech
12,45.259186706178774,2349,Biotech
1,30.57268900562162,112,Hardware
1,40.691688965588156,3198,Hardware
0,17.109421740194666,442,Software
9,17.80352828736421,9142,Biotech
0,19.798774401250473,1075,Software
0,37.86245553785277,1202,Software
1,18.779913134218067,2941,Biotech
4,12.48988042136723,7091,Biotech
5,46.91458366113449,2310,Biotech
97,45.44654864132048,35005,Software
55,17.765467146306058,35356,Biotech
56,31.914584477773342,39073,Biotech
0,14.05518947682725,2097,Hardware
3,10.702698871321669,322,Biotech
1,17.148806685341324,18585,Hardware
0,16.69144468446731,1596,Software
3,44.172667009232505,3156,Software
1,41.20403882882441,7650,Software
3,35.62634981367535,268,Biotech
1,47.987588650315395,34326,Software
2,21.415895978848877,11074,Hardware
1,12.629135408505975,5056,Software
0,6.311222640978717,11343,Biotech
0,15.40214123095939,6873,Hardware
0,7.690554831537462,3551,Software
0,5.063211819734316,1878,Hardware
3,30.3451437369927,983,Software
4,18.52727876294412,4586,Biotech
0,28.446231958509106,5124,Hardware
0,9.971118175667552,15135,Hardware
0,34.006840052811654,4027,Hardware
0,11.16751964014516,828,Hardware
1,14.262167890329785,280,Hardware
0,37.2171408961714,2461,Hardware
1,28.207025834413237,2860,Biotech
1,17.074402436917453,2573,Software
1,27.377944735987082,300,Software
1,34.85224279148301,14938,Biotech
6,45.65054001314264,14897,Software
4,29.24530406302547,867,Biotech
2,12.017975755197606,9986,Hardware
3,37.46153272343658,12447,Software
0,38.99956636895802,3157,Biotech
0,10.419865090651374,718,Biotech
61,41.11842387405536,33525,Hardware
0,23.51427530877991,5278,Hardware
0,39.098449773402784,2045,Hardware
1,12.255171889419163,9502,Biotech
5,16.96272335102498,33972,Software
0,47.708007404936815,1414,Software
3,33.06184612091535,8409,Hardware
401,38.757452609826316,54980,Biotech
2,34.57452998942114,558,Software
0,10.61305383349742,1307,Hardware
2,23.79909304810386,1215,Biotech
0,40.54371169923336,2350,Software
1,33.9142387820139,2175,Hardware
1,0.7983803398382474,4680,Biotech
0,4.826683261314729,870,Biotech
0,17.66633865057119,1171,Software
0,47.246094211120216,4684,Hardware
0,24.813928808241883,3760,Hardware
3,13.87372523780152,11060,Software
0,18.34097411295864,5508,Software
4,10.927305063926129,9487,Biotech
0,21.349402829915626,536,Software
1,11.292754257698991,1677,Biotech
35,42.36474911149492,47694,Software
