Completion_Time_sec,User_Experience_months,Interface_Elements_count
75.69929332228281,46,19
144.58374107478392,3,23
79.67698841126192,29,8
416.5808274340967,35,10
44.038911094677104,39,7
1069.129805898212,18,18
337.95811082555883,20,14
61.718937270228274,43,14
254.7057397493873,23,9
326.54695793929255,34,14
36.40660090126609,33,11
242.56250381267716,10,10
117.50068230425032,33,12
23.03437873433424,47,24
219.05022410840866,33,22
78.5785002378866,26,8
123.47694482499199,20,8
948.0798915221362,15,13
23.264986473672575,37,8
26.13295754618937,33,17
44.6032816955697,17,12
134.06120179946305,5,22
391.96534248270723,4,6
75.34766610867415,3,11
34.40269688474359,21,19
25.89958191755022,40,9
113.85608866526418,3,19
21.306487065037487,21,5
187.72722429384433,8,14
207.05884535769468,42,24
31.523994602469667,36,19
30.429714528125444,29,10
105.14830580747223,39,24
28.985219294365727,34,24
145.9079163331079,22,13
8.12702158500084,31,20
107.27419618204783,28,21
11.381548551476364,35,22
10.370354860473991,34,12
117.36513290516369,13,7
173.19318735743394,41,8
29.223484121084766,4,10
78.00755450234428,43,16
222.74486617828666,6,10
44.48177015409682,1,5
1335.853508046814,12,23
110.602297560271,35,10
66.40385164795762,11,19
103.25393229048046,23,13
54.282385955475405,14,19
96.78370374182356,19,14
95.86153056207579,37,12
168.7636594098854,16,9
13.00209722023185,44,17
9.023847501585358,28,6
189.5184610907199,45,13
45.033901938837424,31,20
84.8905123338222,7,7
86.57819772585341,46,12
113.10692372581585,27,18
26.198035205560082,17,22
37.83081543286361,7,11
48.21203564866952,15,23
13.444374748197259,40,11
325.2551205843132,12,17
78.0003524386045,8,15
136.20046127008735,2,21
46.11020785657415,44,20
90.03250809600117,38,24
126.84558563881077,26,23
36.95503184473773,21,7
1422.471844638699,13,14
86.92693067208766,19,10
527.3638909040792,18,10
38.864968348885256,2,21
54.75808072280883,45,18
238.86913375719314,42,21
11.902200328317765,28,14
105.02862024919905,23,18
577.6505526746615,4,19
28.979175792345053,4,8
103.84378228530858,12,6
305.33231476838733,22,18
353.82244791460073,26,19
183.69912511456835,40,23
179.4855785032579,42,18
150.67848758605493,35,19
67.72873410995078,4,10
